node_id,name,degree,mean_neighbor_degree,max_neighbor_degree,neighbor_degree_gap,higher_degree_neighbors,fraction_higher_degree_neighbors,fraction_at_least_as_popular_neighbors,local_paradox,unbeaten
Abomination_(character),Abomination (character),9,33.666666666666664,106.0,24.666666666666664,7,0.7777777777777778,0.7777777777777778,True,False
Adam_Warlock,Adam Warlock,25,25.12,106.0,0.120000000000001,9,0.36,0.4,True,False
Agent_X_(Marvel_Comics),Agent X (Marvel Comics),5,18.8,41.0,13.8,5,1.0,1.0,True,False
Ajak,Ajak,4,10.0,26.0,6.0,3,0.75,0.75,True,False
Alex_Wilder,Alex Wilder,2,17.0,28.0,15.0,2,1.0,1.0,True,False
Anne_Weying,She-Venom (Patricia Robertson),5,43.0,106.0,38.0,5,1.0,1.0,True,False
Anole_(character),Anole (character),8,19.5,28.0,11.5,7,0.875,0.875,True,False
Anya_Corazon,Anya Corazon,16,18.8125,106.0,2.8125,6,0.375,0.375,True,False
Arabian_Knight_(character),Arabian Knight (character),10,21.8,65.0,11.8,6,0.6,0.7,True,False
Ares_(Marvel_Comics),Ares (Marvel Comics),9,13.333333333333334,26.0,4.333333333333334,5,0.5555555555555556,0.6666666666666666,True,False
Backhand_(character),Backhand (character),2,2.5,3.0,0.5,1,0.5,1.0,True,False
Balder_the_Brave,Balder the Brave,3,12.333333333333334,26.0,9.333333333333334,2,0.6666666666666666,0.6666666666666666,True,False
Battlestar_(character),Battlestar (character),3,15.333333333333334,21.0,12.333333333333334,3,1.0,1.0,True,False
Beta_Ray_Bill,Beta Ray Bill,7,37.285714285714285,106.0,30.285714285714285,6,0.8571428571428571,0.8571428571428571,True,False
Betsy_Braddock,Betsy Braddock,28,25.071428571428573,106.0,-2.928571428571427,6,0.21428571428571427,0.25,False,False
Bill_Foster_(character),Bill Foster (character),17,28.176470588235293,106.0,11.176470588235293,12,0.7058823529411765,0.7058823529411765,True,False
Black_Bolt,Black Bolt,18,21.333333333333332,106.0,3.333333333333332,4,0.2222222222222222,0.3333333333333333,True,False
Black_Cat_(Marvel_Comics),Black Cat (Marvel Comics),28,24.428571428571427,106.0,-3.571428571428573,5,0.17857142857142858,0.25,False,False
Black_Jack_Tarr,Black Jack Tarr,1,18.0,18.0,17.0,1,1.0,1.0,True,False
Black_Knight_(Marvel_Comics),Black Knight (Marvel Comics),7,21.142857142857142,57.0,14.142857142857142,6,0.8571428571428571,0.8571428571428571,True,False
Black_Marvel,Black Marvel,6,23.333333333333332,106.0,17.333333333333332,3,0.5,1.0,True,False
Black_Panther_(character),Black Panther (character),31,17.032258064516128,57.0,-13.967741935483872,3,0.0967741935483871,0.0967741935483871,False,False
Black_Rider_(character),Black Rider (character),4,20.0,57.0,16.0,3,0.75,1.0,True,False
Black_Widow_(Natasha_Romanova),Black Widow (Natasha Romanova),25,22.24,106.0,-2.7600000000000016,7,0.28,0.32,False,False
Blackthorn_(character),Blackthorn (character),2,4.5,6.0,2.5,2,1.0,1.0,True,False
Blackwulf,Blackwulf,2,23.5,27.0,21.5,2,1.0,1.0,True,False
Blade_(character),Blade (character),22,24.045454545454547,106.0,2.0454545454545467,7,0.3181818181818182,0.36363636363636365,True,False
Blazing_Skull,Blazing Skull,8,15.25,37.0,7.25,4,0.5,0.75,True,False
Blue_Bullet,Blue Bullet,3,8.0,15.0,5.0,2,0.6666666666666666,1.0,True,False
Blue_Diamond_(character),Blue Diamond (character),9,8.444444444444445,18.0,-0.5555555555555554,2,0.2222222222222222,0.2222222222222222,False,False
Blue_Eagle_(character),Blue Eagle (character),1,25.0,25.0,24.0,1,1.0,1.0,True,False
Blue_Marvel,Blue Marvel,5,26.6,65.0,21.6,5,1.0,1.0,True,False
"Bob,_Agent_of_Hydra","Bob, Agent of Hydra",7,49.42857142857143,106.0,42.42857142857143,6,0.8571428571428571,0.8571428571428571,True,False
Box_(comics),Box (comics),3,6.666666666666667,7.0,3.666666666666667,3,1.0,1.0,True,False
Brian_Braddock,Brian Braddock,11,27.545454545454547,106.0,16.545454545454547,6,0.5454545454545454,0.6363636363636364,True,False
Bucky_(Marvel_Comics),Bucky (Marvel Comics),12,9.833333333333334,21.0,-2.166666666666666,4,0.3333333333333333,0.3333333333333333,False,False
Bug_(Marvel_Comics),Bug (Marvel Comics),4,14.0,17.0,10.0,4,1.0,1.0,True,False
Cable_(character),Cable (character),24,18.708333333333332,63.0,-5.291666666666668,7,0.2916666666666667,0.375,False,False
Cammi_(character),Cammi (character),4,12.75,21.0,8.75,4,1.0,1.0,True,False
Captain_Marvel_(Khn'nr),Captain Marvel (Khn'nr),3,15.333333333333334,18.0,12.333333333333334,3,1.0,1.0,True,False
Captain_Marvel_(Marvel_Comics),Captain Marvel (Marvel Comics),17,16.823529411764707,32.0,-0.1764705882352935,7,0.4117647058823529,0.4117647058823529,False,False
Captain_Ultra,Captain Ultra,1,57.0,57.0,56.0,1,1.0,1.0,True,False
Captain_Universe,Captain Universe,17,27.294117647058822,106.0,10.294117647058822,8,0.47058823529411764,0.5294117647058824,True,False
Caretaker_(comics),Caretaker (comics),3,15.666666666666666,22.0,12.666666666666666,3,1.0,1.0,True,False
Ch'od,Ch'od,6,15.166666666666666,24.0,9.166666666666666,5,0.8333333333333334,0.8333333333333334,True,False
Chase_Stein,Chase Stein,6,19.833333333333332,63.0,13.833333333333332,4,0.6666666666666666,0.6666666666666666,True,False
Citizen_V,Citizen V,3,16.666666666666668,24.0,13.666666666666668,3,1.0,1.0,True,False
Cloak_and_Dagger_(characters),Cloak and Dagger (characters),28,23.75,106.0,-4.25,3,0.10714285714285714,0.17857142857142858,False,False
Coldblood,Coldblood,2,17.5,20.0,15.5,2,1.0,1.0,True,False
Crane_Mother,Crane Mother,3,31.666666666666668,65.0,28.666666666666668,3,1.0,1.0,True,False
Crippler_(character),Crippler (character),4,17.0,22.0,13.0,4,1.0,1.0,True,False
Cyclops_(Marvel_Comics),Cyclops (Marvel Comics),26,16.192307692307693,63.0,-9.807692307692307,6,0.23076923076923078,0.23076923076923078,False,False
Dargo_Ktor,Dargo Ktor,2,16.5,26.0,14.5,2,1.0,1.0,True,False
